,Contribution Margin [€]
CCGT,6655098.0
GT_GasOil,0.0
Hydro,4608660.16
Coal,1406547.0
Lignite,0.0
Nuclear,8627130.959999999
Wind,16151159.100000001
Solar,5913223.649999999
