,timestep,length,load_MW,electricity_price,expenditure
0,t1,102,83115,141.79,572366034.42
1,t2,962,71169,141.79,4909320804.96
2,t3,962,66729,141.79,3980517539.44
3,t4,962,61442,117.93,2781358632.7799997
4,t5,962,60430,117.93,1963538200.0
5,t6,962,57013,117.93,1602103525.36
6,t7,962,52048,117.93,1849322537.3999999
7,t8,962,48701,117.93,1842543554.28
8,t9,962,43981,82.2,1010066714.8
9,t10,962,40498,82.2,1499970024.8
