,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
CCGT,545025.1377777777,315355.5911111111,134544.49777777775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GT_GasOil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,1532404.285714286,1719282.8571428573,1644531.4285714289,1099095.1714285717,451830.8571428572,158306.9142857143,308142.00000000006,460801.0285714286,0.0,6312.342857142858
Lignite,1873821.5999999999,1989489.5999999999,1781287.2000000002,1781287.2000000002,1896955.2000000002,1873821.5999999999,1943222.4000000001,1781287.2000000002,1299116.88,1989489.5999999999
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
