,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
CCGT,684714.6666666666,731136.0,684714.6666666666,707925.3333333334,777557.3333333334,707925.3333333334,731136.0,777557.3333333334,456205.6533333333,701581.0844444444
GT_GasOil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Coal,1532404.285714286,1719282.8571428573,1644531.4285714289,922183.4571428571,212626.28571428574,51163.20000000001,203490.00000000003,134386.45714285714,0.0,0.0
Lignite,1476033.84,805489.92,214591.68000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
